num, ref
4104972, 0
4104979, 16
4104981, 54
4104982, 58
4105375, 8
4105601, 534
4105608, 998
4105614, 453
4105633, 945
4105634, 896
4105637, 827
4105643, 924
4105647, 742
4105653, 55
4105655, 84
4117375, 130
4118585, 24
4118586, 27
4118587, 32
4118589, 63
4118590, 87
4118591, 90
4119451, 69
4119454, 420
4121396, 900
4122139, 465
4122146, 99
4122149, 877
4122156, 627
5304658, 370
5304669, 399
5304677, 406
5304681, 496
5304685, 591
5304690, 615
5304695, 617
5304702, 698
5304708, 770
5304723, 772
5304731, 791
5304755, 846
5304761, 869
5304772, 881
5304784, 939
5304795, 979
5304868, 269
5305180, 56
5325793, 520
5332028, 918
5332038, 969
5332054, 765
5332066, 512
5332074, 536
5332086, 448
5332284, 154
5332334, 967
5332371, 485
5536368, 393
5536370, 369
5536386, 3
5536409, 650
5536965, 941
5536967, 966
5536968, 988
5536970, 353
5536972, 360
5536974, 594
5536978, 784
5536987, 294
5536989, 416
5536999, 944
5541190, 9
5603129, 424
5603134, 364
5603141, 148
5603148, 516
5603158, 1
5603181, 143
5603189, 819
5736686, 910
5736687, 903
5736688, 802
5736689, 810
5736690, 870
5736691, 706
5736692, 573
5736693, 744
5736694, 726
